annual_salary,other_income,investments,deductions,age,tax_paid
4493122,449341,33087,168,49,1321072.9
4546664,33205,75952,42981,62,1181212.03
4955469,109084,36368,92306,52,1329394.25
1132817,29717,120648,65199,34,101750.9
4535702,181056,70815,64948,38,1218670.44
3478360,369436,90693,57782,58,943588.15
3162732,418351,150000,80759,57,834701.09
2380338,159236,58900,61599,54,544151.4
2192825,467705,15494,73563,43,591699.58
4032978,300706,116486,16291,52,1100082.98
4315811,462326,150000,53833,23,1216582.85
794604,20169,150000,90975,63,17949.98
2249927,453074,33050,87057,42,595262.93
3374108,283748,97799,90251,43,871979.47
2931638,351814,131016,87154,24,745767.98
464500,376749,88257,94535,33,35559.06
2367478,350882,48070,32992,52,612236.98
3176031,393900,5166,39350,49,889329.48
839282,128140,138193,1573,60,70752.45
3103633,102537,145749,8577,60,741575.33
2140369,246337,150000,8712,30,484534.13
4148242,111301,87409,29948,33,1081762.03
1417060,270151,37664,77700,37,279816.26
1231519,377059,129926,5217,58,249111.72
989352,231704,1293,60178,22,151190.52
4878714,117419,150000,85062,37,1274854.15
1590281,303931,49212,96806,64,334836.53
4141106,311726,75276,26409,46,1146957.86
2522466,205863,12559,49040,58,621419.76
2051317,228870,65231,78270,57,456046.03
2146830,345773,108277,79066,25,508641.12
2814150,267926,150000,77930,45,679893.55
1768560,66770,21747,67035,29,334322.98
4860061,57645,150000,93075,48,1247884.87
2805214,103509,37,9669,42,693893.3
2429180,230796,104294,58247,49,568599.72
2528599,425212,97847,58975,55,662060.57
1195843,291348,103742,28562,40,212124.74
4388891,17152,48503,21629,25,1142204.23
826045,448402,28207,91282,59,149746.9
4231419,238972,33241,61463,64,1154614.34
4695511,352699,131130,46007,52,1309174.78
1624945,216096,150000,18128,59,311348.86
1591538,233731,96171,2039,30,328242.41
2563999,281833,145906,3857,60,630573.53
920488,181762,117302,59019,37,91193.23
4990691,487258,150000,91432,57,1423193.3
619065,345395,72832,70486,35,69397.54
2984372,188392,21383,89007,29,744860.69
4425889,457442,124291,80977,52,1248955.66
1663807,187163,150000,12735,43,316129.32
3292195,368709,2674,87951,31,903327.05
1816449,472517,114100,34511,33,457190.76
489102,415158,109369,46051,38,54358.72
1536737,38712,22820,52693,29,257380.03
3260006,257387,150000,69152,62,818451.19
2577074,236502,43794,80919,25,628325.26
2997753,196349,133148,29756,63,735133.78
1290805,311776,150000,3894,42,241390.34
4643778,431247,128544,43232,52,1319213.69
4362065,20478,150000,53214,22,1093350.65
3210087,22551,37555,69817,41,764482.99
460116,48068,150000,63862,48,0.0
3168462,93608,32406,90183,44,768918.07
3242146,35561,150000,30036,44,755873.35
2818137,133964,40262,18584,34,692095.56
4414279,492718,91320,32308,57,1281811.13
4552099,286539,150000,28333,47,1243415.16
3762223,18756,150000,35949,44,911049.36
1457949,247652,30284,84795,26,285642.86
3171981,480926,150000,97330,46,851940.02
4050241,427867,90627,39288,35,1146036.22
4159076,251227,145405,78588,49,1095528.72
3934340,328477,150000,77807,56,1048323.12
3521765,466961,89023,45267,30,991984.03
588076,499755,150000,32175,48,86976.45
3309244,180378,41516,8915,29,862427.59
2398611,152418,15577,81658,41,554983.73
2160826,375705,15015,72454,30,553507.34
3044664,290168,91104,59722,24,782809.87
2813275,226022,114412,95973,24,672020.54
1578369,434034,91740,65298,26,368273.88
2623970,5947,150000,13805,46,558826.94
2290212,468369,66640,85134,60,602723.78
4371774,479456,83190,40517,36,1264387.18
2441984,127192,129516,54716,28,533502.53
352999,257591,150000,2871,48,8201.39
4742923,356382,150000,37375,36,1321922.16
261367,329572,134718,45741,58,5744.96
953315,422970,87007,23148,21,184432.56
4800108,325499,150000,5834,39,1339969.18
3205334,451457,47728,42680,37,902111.5
3054190,462176,14878,3399,48,880803.77
1484382,392102,128925,64091,64,314642.02
4053321,258492,9145,21762,32,1125042.67
2854837,238826,88578,51009,26,711071.71
3684239,144490,18226,76493,27,954411.12
1242377,226494,2802,51548,28,230730.55
4777033,231391,24119,28340,23,1335661.08
3457181,481809,63560,61365,41,979388.28
1123780,186256,57353,92674,28,151322.81
3066451,398049,123001,81344,48,806568.36
2668152,468646,150000,59790,50,702626.5
4607871,245318,71641,93779,52,1251983.93
2142811,172905,51712,67797,31,474616.58
498090,393781,150000,11809,40,50452.9
517348,433396,150000,17696,36,61473.98
1526283,18402,130085,51457,45,214700.62
292324,173917,68285,21891,29,3955.38
2520688,75851,115278,59151,59,545098.32
2005808,12834,150000,84661,60,346002.07
1520567,67850,150000,63008,60,218527.61
4420459,37180,24512,52488,23,1156159.37
4736119,397099,102077,56632,36,1341446.81
4215470,109688,150000,66533,32,1071291.0
4854798,206659,2064,71889,35,1345501.25
3477419,368664,95614,84239,24,933263.76
3822138,273839,150000,57942,43,1002466.92
2740476,127135,117639,9275,47,644497.46
4429011,154195,30011,19965,59,1203767.76
1137841,58481,71152,97955,63,112260.72
1767053,73438,10960,35854,57,349027.22
2116545,111491,121789,15973,33,441565.49
3043940,410789,58920,89086,63,821097.58
4747603,121844,21387,26878,57,1293608.78
4132441,357054,146396,17105,60,1139110.13
1407068,56494,63960,64746,41,205875.07
4564406,405504,122994,99458,49,1270606.9
594274,309122,32628,81565,49,62754.22
4611589,465636,121269,39935,31,1323198.55
1586980,379989,47452,32784,48,378060.7
1408052,392765,41098,31601,30,328572.82
3055994,207167,150000,39865,25,748268.35
3147762,54672,86861,97081,45,731169.5
2593293,61821,27949,78701,53,584520.77
3240267,345805,150000,18616,37,855646.27
4042323,69224,150000,11654,53,1021766.62
1497076,351549,73537,17830,45,337664.5
1380887,234745,146375,16205,53,242752.22
2007610,54796,116003,42425,29,383441.14
4639850,437922,143375,77495,47,1304753.42
2948385,128554,50701,87694,45,706225.73
3915288,385921,50511,77355,24,1091483.02
2124401,266167,80664,35851,29,498904.54
2096220,245358,149352,6952,35,471205.49
3338744,213708,39427,89761,36,857458.37
346470,167807,97180,47405,36,3623.98
1567223,335103,103550,5391,33,348936.12
1255146,39218,138039,80004,34,125212.15
2628081,405429,137733,62468,42,673392.41
3879126,494735,77952,15091,41,1125015.22
3844843,229766,66046,30237,29,1030637.71
4473445,290604,106918,58353,61,1224218.74
4406419,386723,35200,74500,24,1250633.9
3384790,326824,67442,40682,30,913688.88
3106495,31017,150000,49634,55,706017.94
4341363,491752,91070,26968,29,1260504.02
1774833,354182,58168,54833,36,418396.37
3127337,424206,48322,40205,38,869860.99
2248891,19515,150000,76907,30,426347.69
1370439,423207,70246,42541,41,313828.01
3846804,400850,150000,91217,35,1039408.34
847296,208106,15583,28285,35,108999.07
1749302,469668,82720,52513,31,439525.94
3322951,422593,150000,15430,60,906395.57
1878687,295145,150000,9033,62,418017.29
1000101,1391,137181,19918,61,74233.74
4300612,196278,59757,18256,57,1168089.62
2159406,109388,6659,48522,40,480047.26
1164918,304359,1238,64353,54,227350.03
696758,79720,121270,31188,42,28396.16
4842929,289258,119211,55134,38,1336246.7
228625,142954,15064,52657,36,200.62
3033552,375286,150000,36088,25,794898.0
3631961,148345,150000,14979,21,917382.02
1476647,368350,136692,68264,39,301092.79
4242608,45647,99790,50106,30,1080568.01
4882315,475881,102985,1595,41,1428528.19
2727576,195964,44258,32624,33,677557.3
516205,42679,135542,97104,44,1364.38
3245315,262571,150000,67824,43,815899.34
3344480,228024,150000,40431,43,844606.78
4495680,391813,24668,94547,31,1277102.74
3770834,66267,77259,17127,22,957127.08
3130639,799,112192,17878,26,725826.82
3064781,317803,96576,72480,31,792020.74
4305519,487625,105481,60690,35,1233015.58
3817860,7025,111505,77838,29,923689.1
4552360,14481,150000,56360,32,1149870.07
4140285,287555,5397,207,56,1169137.63
4857089,227966,99925,1083,48,1344422.66
2827144,105928,83481,51564,43,662384.42
3025896,123014,150000,3311,47,724026.89
2238540,408177,60308,23135,44,589141.49
2939956,414983,150000,57109,34,771522.96
2819980,51690,1130,61354,55,665866.03
921384,52870,124293,63647,47,62153.31
719777,499752,14071,59301,41,147000.98
3899181,167207,85517,62233,33,1012015.06
3087698,457730,110240,96755,28,830991.1
4430625,86928,2118,82128,64,1172591.78
2632593,209870,131735,46212,64,620728.99
4228812,70765,62408,89468,64,1083482.71
4231464,285916,51786,57776,54,1164639.22
3590742,392561,81271,84576,62,980446.27
356498,280943,19158,71386,43,12838.64
3087296,374195,31087,51588,29,843590.59
4788887,129941,88114,31716,21,1286687.38
2936582,23555,150000,78255,56,641747.18
1300500,354296,19874,21777,36,292701.24
1776590,389363,83443,49285,45,423766.2
2161977,412549,40821,82558,38,554157.86
4232654,397477,115675,99532,54,1166856.29
864468,381977,60582,93481,58,130223.18
3560160,331146,122603,28788,23,956253.48
3485727,308697,150000,4019,40,925206.36
1080112,265232,150000,75018,39,138941.71
4752994,45783,150000,46873,33,1225194.05
3237099,1115,69381,84116,37,751831.7
4474277,463330,111800,9895,34,1291964.54
4195609,199198,130805,79671,50,1094911.27
2242823,72908,150000,49013,42,449816.02
1248173,69109,82018,59570,63,156216.53
1702025,265122,100592,75923,63,348077.18
2791661,371087,91626,94672,49,718052.4
2112584,9422,86217,82895,22,398702.93
3977538,174698,150000,47672,28,1023223.97
425049,89233,72799,6121,34,7038.82
1517191,318318,62185,99332,54,311685.5
3061509,489572,41538,82445,33,858654.58
947419,37743,20343,67863,30,85166.85
1279924,201533,150000,18930,28,198908.42
2580932,450415,120026,49987,27,682136.21
1854753,392432,53106,35502,33,462876.02
604772,129000,114322,97083,46,11563.08
1915499,384922,81227,31688,52,471901.87
771107,29430,150000,7304,39,32392.46
2275406,28834,150000,4049,35,460259.59
2717334,24435,42135,14947,22,627022.34
2286213,87212,150000,9495,57,480146.16
3558509,55797,119599,24707,39,872040.0
2979499,436770,83470,98696,53,798440.14
2113722,54555,20910,61920,59,440059.46
3010860,85350,138213,44544,53,698397.34
748884,14716,45950,30706,21,41484.35
2199254,60261,150000,33993,59,436962.86
1187471,420744,16225,14987,48,281424.94
4453486,264139,32959,19089,37,1245060.02
4356532,22414,49192,65997,26,1119692.18
1901667,144916,79711,9993,64,399946.25
3817556,167731,141123,11465,40,985202.09
3067340,15522,3449,82071,33,724570.7
458517,498665,150000,32640,32,59704.74
1557133,391776,104213,75997,50,341234.09
905475,336178,150000,12366,41,126137.54
4139311,304466,100245,29895,22,1135254.74
948013,329782,97069,1785,38,157229.59
2988890,363478,150000,6242,48,786591.31
1452078,139596,23908,24529,24,270889.94
4538843,30846,104847,64399,62,1162338.22
624226,335787,120910,6356,63,71811.38
3867591,453312,150000,23229,26,1083474.29
3467727,114930,150000,85380,58,833750.42
4317923,477020,14012,18220,29,1275365.83
3803101,440919,150000,25651,40,1058731.13
898956,286543,17412,97222,50,123509.88
4101529,206232,110030,87663,57,1071741.22
3603096,223734,24657,88198,58,948160.2
4480669,219739,5656,61850,24,1234865.42
954950,123182,140039,34261,58,86597.06
375211,48591,146836,58479,33,0.0
4292966,151786,15873,50700,55,1155391.85
4457950,499383,94485,90896,50,1278249.02
465798,298021,109383,42380,62,25907.65
1730814,84106,150000,79833,24,283947.14
2083376,78018,150000,88324,45,389397.84
4091113,361998,1607,27011,51,1169841.82
3221097,452352,150000,48603,32,873551.95
355683,164486,48447,93593,35,4062.71
3203475,120832,49757,18447,46,805304.14
4930741,86576,69201,83940,30,1307022.91
2187755,210015,128765,86677,32,470286.34
2106039,254664,5462,87843,42,496828.18
4961260,176540,116832,75877,60,1332268.39
1655465,492057,150000,74678,41,389327.33
4392814,210774,48465,64583,55,1190448.48
1194170,203180,150000,63056,27,158899.73
2909644,491754,90027,81468,38,797129.74
411830,92508,50528,12017,47,7373.24
3762613,308979,36230,98873,55,1017584.57
3529049,194405,48242,37880,22,924247.58
4955976,42464,150000,1355,52,1301690.52
721998,374598,114688,58936,35,90578.18
4260119,153995,1783,64608,44,1145889.58
3946169,116062,28390,81622,40,1022492.33
275388,455071,139489,87051,30,10603.79
1975767,329589,72102,79756,44,461291.38
2529753,372598,17426,47266,44,674749.61
1697618,384050,30750,54554,44,412265.57
4221080,98384,58188,58215,60,1100755.03
4628690,198691,10872,99138,54,1261219.75
3689443,177218,94231,60656,61,947473.49
2758944,322176,129860,54104,60,693312.67
701174,375665,150000,76844,31,75398.96
3081777,378522,66770,969,46,847878.72
2948996,17140,124158,98896,21,645241.58
395246,264814,83514,254,50,18468.74
3896176,298663,92663,10306,63,1066063.44
2543394,44512,150000,65516,38,529585.68
711083,451027,149151,93077,46,89935.46
1212384,103565,148410,68197,29,132394.7
1066964,145763,134363,80845,29,106083.95
249104,367300,112808,18223,21,9639.4
3256277,165334,110091,71441,27,800304.65
1063663,185964,99272,67967,64,127105.06
4958982,25595,49393,73292,62,1306310.3
4600072,188279,93558,70889,36,1232058.05
1406861,246661,69770,50117,58,267894.12
3319612,164512,26720,1737,31,867568.1
3091005,270774,13368,82404,45,808394.18
4936319,424466,150000,32476,49,1405032.41
457681,487550,47969,24325,39,80170.9
294018,260300,48838,12326,38,10044.01
2198197,239644,8734,90122,49,519163.32
2254780,229820,107187,12911,36,527124.62
3639782,369605,99329,29080,60,1000265.14
4623408,208590,143269,22635,28,1245221.33
1042186,74191,68895,51179,54,105831.02
4587814,458007,120424,5213,26,1324497.41
1693293,477334,150000,57142,50,402007.32
2751314,100591,101255,63545,64,627776.76
1324905,63753,58073,27940,54,195825.24
3305958,60520,150000,48604,41,777776.69
3458084,266152,15624,88901,32,918749.83
404451,437680,150000,74332,26,27102.19
2180290,369552,24315,49119,59,562039.3
3624328,262640,17422,82888,26,970837.3
4949959,361911,150000,61604,24,1380682.99
603322,285356,72663,16820,29,64832.56
4771843,282781,101216,76502,25,1310994.67
4510796,307371,150000,67345,30,1224856.46
4277716,475629,32743,39314,28,1249961.86
4559879,381897,146708,40875,43,1272708.22
2290545,120118,10108,71041,24,516208.37
2108802,214418,36180,96185,57,472946.76
1748075,272028,18883,70793,27,391693.22
693948,116481,44400,80587,26,41171.94
4368962,68259,150000,4909,62,1125481.34
3944085,49810,47951,92881,35,991555.66
980641,129926,138232,14866,55,97753.55
4666134,4761,55262,42789,52,1216127.33
1754205,466382,150000,90404,34,407217.1
1904597,258414,83133,94063,55,408974.28
3965689,16375,142195,65997,31,966848.06
2751331,238117,115106,28460,30,677315.18
3327748,418434,150000,48500,37,896276.78
1035036,161637,70496,68769,33,119311.3
2569822,102654,150000,12128,54,572628.58
4201070,295119,61934,5202,25,1171264.54
2588278,158145,78886,96794,30,591471.82
3083791,200798,30881,65327,52,784174.87
4380413,132955,18409,47965,32,1176862.13
3696605,461638,150000,31238,33,1030225.56
1505487,180701,98171,79258,41,260132.81
508623,195242,150000,49240,53,10640.5
3847371,74489,150000,83583,61,940142.42
3496903,8381,48951,68837,52,846298.75
2468115,416454,8752,54289,32,669716.74
1390402,144867,117339,32544,55,221640.43
1347116,489180,144512,60064,56,298496.64
3156566,62999,44864,97119,58,749605.58
3972763,312051,150000,93049,48,1050430.68
510375,402854,72035,81176,33,56683.74
2326453,332611,86675,22413,32,584992.51
1471300,304767,22343,82341,42,310871.5
3859731,169564,19673,85669,64,1013673.34
4588087,419627,150000,48899,22,1289750.28
4042411,372868,150000,86891,49,1093057.06
1215416,151606,95024,88765,33,158568.7
2514181,495580,26520,69969,55,698340.86
3604231,422397,15784,33033,33,1030477.03
3465696,365213,117446,1378,54,947570.52
4772148,19996,38079,6503,39,1270639.34
4405003,203161,44220,42774,29,1200005.04
3541861,105682,150000,59608,51,862035.72
4928307,345753,112878,33617,53,1389200.28
2815804,465882,116583,4814,47,775410.17
4512717,160477,48720,58335,22,1214035.37
2182243,363634,14718,23763,35,571707.55
1892128,257972,150000,10000,39,410311.2
3613654,71325,61217,80824,51,894796.66
3470209,28930,100668,3274,36,848701.46
415400,376570,150000,49868,63,21757.22
2857025,17529,150000,54232,35,622540.46
3524664,53546,143936,14227,26,856454.66
4786440,270086,88378,17279,34,1334071.13
3794058,269692,8177,74904,47,1031368.73
4784258,377392,150000,64940,58,1332773.52
2335219,411512,122318,42736,39,594883.22
1946621,182088,150000,96542,57,376636.1
4412377,97780,150000,92916,63,1120779.19
4430339,262440,111145,93504,24,1189696.56
1444625,67945,142916,9651,46,213720.94
433782,59980,13418,79439,29,5247.06
3935466,318926,150000,84463,61,1043617.85
1783246,165301,88075,7771,60,367442.71
926331,96382,150000,78996,35,63693.14
1994291,53444,65227,70173,61,386048.52
4098606,297180,143907,40834,57,1103246.04
3182448,260186,17533,3553,24,856922.98
3078117,301466,101457,34117,46,801530.81
4681617,158239,107504,89116,38,1238089.63
4481772,313811,141295,77058,61,1217495.76
2243037,94527,124202,62137,55,460582.2
4586007,83337,10273,34890,61,1232144.47
3933149,313612,33519,93740,61,1074684.62
3287821,72894,150000,79428,49,766361.54
3004802,446300,127024,8689,44,823801.37
4357263,63138,124540,28063,24,1120952.98
4688198,284732,150000,57198,41,1276308.38
1813325,325045,141420,79598,59,387613.82
3812744,410887,83460,1363,27,1080708.1
1326798,83038,104471,16691,43,191466.29
2933460,483880,104668,2751,60,822095.35
4315362,424861,67519,7782,41,1244855.66
1903377,138709,90426,83184,21,372364.51
1452557,393876,14629,12540,61,357010.37
4498515,369355,49056,45991,45,1278520.78
3532049,269066,11273,70875,51,949717.7
1690687,93697,120484,92556,64,279659.33
4881993,175793,97275,27609,58,1328465.42
1123160,450472,150000,56655,25,215896.82
4257025,252097,138966,71384,51,1130616.86
3802684,379361,46073,63177,21,1060112.04
3147893,331650,45693,58396,50,842541.65
3988963,200015,150000,16877,38,1044295.51
4074910,124338,24343,18405,28,1086228.0
3351629,27843,43095,48629,46,815177.38
2459776,140118,150000,46233,60,539342.23
3568045,482552,150000,21471,35,999687.31
4540092,457201,122388,3302,39,1309340.14
2832578,473299,114441,79973,30,760176.46
1168616,365208,100782,80048,44,211534.13
4417733,227997,150000,97972,36,1161500.5
1450956,126417,72590,23511,63,251556.86
1690036,116585,150000,5022,51,304698.89
3069729,30346,108263,43239,64,709354.78
2009377,219356,150000,71691,36,415597.1
1265923,385296,150000,97016,36,227511.34
1920856,373913,29373,59269,48,477711.62
756110,102391,27525,90868,40,52542.46
1164163,484600,127716,58398,55,245746.49
3212539,446742,104513,61895,29,879176.38
4402271,335287,129401,69890,60,1205339.3
4242879,298931,96643,97383,30,1145908.61
3881887,295727,150000,35284,38,1035006.96
2522523,143635,149712,48640,35,559355.47
4075358,177132,97694,75692,50,1062080.45
1413261,260609,150000,22453,52,257842.1
4946771,121943,36136,98225,60,1328918.14
451537,245534,150000,89294,47,8204.4
1956124,164762,56539,74374,47,410271.58
1041531,373377,150000,37976,39,172202.78
1064645,225784,68363,13725,30,166402.39
1628127,14925,150000,74873,64,231871.85
671082,217859,81526,76237,26,50685.02
2121277,83184,35255,95347,44,436444.01
4454849,413324,150000,43043,29,1248040.56
3647794,76515,118209,94852,47,884909.38
1815777,199330,150000,77080,27,347264.42
3704905,136427,86437,64990,26,940650.36
3712664,308213,147349,87050,53,970781.14
1173181,225407,132715,81863,41,158811.12
3316810,100854,115900,46809,58,804945.96
1691633,316615,23729,16705,64,403357.97
1733854,294849,21818,63131,37,395851.25
2261774,174981,65555,76015,51,505497.72
2990358,219678,98979,62456,57,740563.51
4060562,128501,53629,76859,31,1055675.4
3390664,116361,115296,78473,48,823135.87
1965524,184811,55438,23089,25,435804.1
1450632,207892,9457,67238,32,282930.65
2522621,87273,150000,75940,23,533193.65
337478,285385,33922,99134,61,9869.96
3443087,420630,140892,73916,58,927859.61
1109711,50818,150000,87526,22,90584.62
3911584,151967,108122,61396,46,1004338.3
1819715,354451,102020,98395,22,405210.31
2790310,193481,150000,3877,32,672333.17
1827687,448540,88405,84256,60,445712.59
1160612,329064,116130,73212,22,195104.21
627387,446771,150000,31818,61,84206.72
3846259,118642,68038,99884,36,974057.45
1744613,327597,62325,48555,50,401334.96
1497638,284833,25600,42368,56,324324.94
4829988,195428,150000,48180,24,1295497.63
2354174,224083,150000,89666,31,519040.39
2630525,401468,61526,98777,44,685367.28
3295010,292988,13149,49421,38,889333.54
2656070,95687,150000,26620,47,592842.74
689626,498758,145468,60539,57,102934.42
488859,285509,150000,17077,22,24916.53
4949766,137098,150000,12663,35,1325750.71
1746236,360447,112168,83335,31,385688.16
4201412,290667,109813,47285,47,1141914.07
2490870,141554,91779,51235,43,566095.92
794305,112105,150000,17619,55,52268.53
4457341,311032,134266,69503,50,1213556.45
3959834,113884,32398,57477,44,1032359.02
2827988,106968,4789,27488,39,695035.85
404366,312254,64967,78747,49,17764.45
702420,221716,150000,21169,33,55217.14
2451401,393709,98837,30373,43,636760.8
1879161,449410,150000,32669,32,458921.42
1238199,82001,101967,55277,61,152242.27
860902,39767,131201,72170,49,43637.98
1738112,29550,59683,55120,26,305092.01
1926676,144905,45331,66376,43,400880.69
1570073,134042,34626,54235,51,293359.25
4353585,98315,150000,34229,41,1120913.35
1885996,95494,150000,86854,44,333726.43
3446417,127424,12342,15405,28,895781.33
902436,375999,36417,15847,64,171965.35
2743788,82681,150000,23547,29,617111.66
1552144,363633,52664,6575,42,368639.86
1751330,180249,8833,95659,24,359451.14
1171248,460558,60658,4843,33,278087.16
4857851,392690,150000,92987,54,1351756.85
2807411,252411,131809,7739,23,700525.49
1893439,464416,94965,14852,57,490787.86
2031094,192573,150000,51661,48,420265.87
3637172,28900,64054,9157,46,910372.63
1259325,14126,1299,87942,54,158873.52
2163571,111198,150000,72968,35,429561.91
4619323,201762,65875,18837,28,1267148.38
797218,218816,150000,80684,55,61952.8
4015144,341447,150000,76730,44,1077916.63
3636252,216651,150000,98127,57,914090.11
1017052,441210,114286,14819,24,204096.98
2185957,329205,98730,72161,32,520812.55
1628080,492280,56298,7404,39,431077.3
1301928,16978,150000,14674,35,149520.38
2721279,56344,121035,76043,50,594530.04
2300343,308792,150000,85923,57,529842.14
4296392,263199,150000,18697,32,1159358.93
2926016,75582,109825,85083,39,665087.28
1444289,232459,115637,60663,54,257539.78
642939,81214,150000,23570,27,13121.26
1252207,438092,72618,28037,48,285368.93
3482972,223232,25532,95619,48,907936.54
504224,370098,108197,37982,49,50053.74
4614473,38725,130860,68524,57,1178989.97
2911793,398471,60285,5156,40,801784.78
4947263,468163,18866,38280,31,1461183.36
2519124,315524,138665,75324,59,607045.61
4123227,245720,9495,60706,62,1130608.75
2273290,53333,7837,79721,43,487988.28
2718970,304603,149752,84270,40,659739.91
4089877,378662,150000,9971,40,1133673.22
1927408,261910,30346,53140,31,446419.58
3001742,298307,108621,43408,22,771582.24
3288272,165043,23412,52022,33,843298.87
1255675,489987,118833,6487,33,294946.7
3764375,196221,150000,20997,61,971754.89
1165188,346874,65206,46456,35,226324.8
4948703,281620,10934,77988,51,1393517.11
2361088,330724,30723,80908,43,594416.47
2520484,251831,127968,59416,42,595898.47
4305223,367720,150000,44767,36,1186590.91
3022988,348737,149820,78970,62,769995.72
4119047,200122,150000,77952,49,1065859.7
3668792,206598,150000,84784,40,925269.07
687510,497712,121988,28194,48,113888.32
3775168,371215,148460,33785,47,1026211.06
4255447,114832,36523,58676,64,1123224.96
1873879,400723,101150,8373,49,464904.65
1980752,463609,120950,30283,25,504855.94
3493331,143190,150000,55911,62,859750.32
3964455,181601,150000,94951,58,1006544.76
4535518,68682,41646,26414,58,1204675.68
603082,223009,150000,14378,64,36236.3
401139,447392,52776,83872,22,46671.66
4104722,246553,19116,4700,40,1139567.21
2946866,353857,112858,64143,63,764001.26
1407786,366204,76620,63229,33,299251.99
292601,135486,150000,13901,46,0.0
3375684,83030,150000,90374,55,793522.08
3584068,120360,82604,22597,28,912358.82
829085,348117,94452,33428,48,116858.98
2159925,455353,133991,35687,61,552427.2
3209887,135009,23550,29493,35,816458.14
1718087,298875,150000,51224,28,355910.26
2213321,480078,150000,31852,31,573002.66
2718638,169737,150000,10932,49,640362.22
803103,467726,70227,88545,25,136361.78
4433583,410716,23212,64202,27,1273548.12
4766235,114360,40118,33583,38,1289150.93
2189968,263894,28602,47278,48,531330.38
2445854,65018,17540,93530,32,538138.22
4839681,397243,150000,29865,32,1367202.41
2816241,240904,150000,12289,56,692595.07
3043586,136817,150000,93829,49,705611.09
1457008,192803,71455,70270,31,259922.83
4270211,86984,22277,85549,26,1115203.13
4043688,370127,119133,35521,41,1118258.23
3816984,290595,150000,6505,30,1022135.09
4517561,355887,148748,44327,52,1249676.38
4218365,333618,150000,65519,53,1142376.77
1203171,192608,150000,70221,37,156174.1
3100737,12150,9752,18409,23,751834.51
1570485,275550,150000,19517,63,312473.62
1881076,150853,150000,44533,38,362667.55
1811935,188489,150000,30475,30,357224.09
312990,378191,150000,15327,61,11744.41
1181883,386115,150000,55344,59,214548.05
1868321,365301,125332,3671,63,446041.13
3493705,18325,150000,70477,28,816364.54
1818702,199756,18302,91908,54,384773.38
1700071,356559,66236,78002,57,386066.3
3959505,204541,64467,50756,61,1052632.78
226806,402652,102350,83822,53,7450.87
4809688,17669,150000,44959,30,1234708.18
4464423,389529,150000,70124,60,1235154.34
2073722,334154,150000,28080,38,485096.35
1719603,207836,3048,24544,45,382152.26
2168541,492290,150000,76347,62,548959.01
2704659,132915,58906,18733,61,650499.72
1950740,196681,76637,54211,56,418570.78
1063403,50812,29778,40696,22,115698.13
1079903,278203,150000,48093,39,151324.06
1085421,348413,120918,47042,30,184352.69
4478384,252862,90036,53516,23,1220760.53
1178836,171840,150000,95595,39,134185.27
3423522,25395,143746,37487,46,808917.41
2417181,282346,150000,40849,45,572107.54
379830,406489,150000,14550,37,27927.95
1756518,442105,11957,76400,30,447802.99
3684144,229707,72644,90930,31,959486.42
2859083,247181,150000,84597,31,685360.1
4313640,204120,113294,49699,32,1148087.3
4700398,224839,17829,78160,60,1296125.38
1436497,219882,5837,90470,28,276142.46
1747261,103235,150000,68897,44,298458.89
1066183,45510,146104,13707,34,96591.46
822893,87945,99770,1924,43,66901.95
4739014,242802,26352,95023,56,1305857.59
4095958,250168,30215,78183,37,1111571.14
651157,332793,150000,97270,25,51829.44
1465898,368867,41247,29018,23,339924.0
2320539,2881,129692,87163,29,446648.28
1080412,308057,150000,21031,40,169240.66
3431185,111860,66714,65164,40,853684.1
2441281,346929,35319,68237,39,627012.05
3934044,458253,119058,49573,41,1107183.79
517875,324601,16025,16719,36,67024.26
1428337,166415,9780,9718,53,280879.25
2866078,455605,22706,56,25,818663.35
684814,471466,150000,15352,44,104713.02
1426134,497705,75503,47820,35,351160.99
3890583,139728,150000,68683,46,978627.94
2720107,267885,103166,69073,64,667914.94
1830668,147733,9179,88348,45,376232.69
1799908,359235,150000,721,48,416027.66
2364412,290834,148659,82305,53,545775.98
2553847,294977,150000,51969,38,615218.76
2830146,102566,99423,40194,38,660845.64
3092478,71240,123076,46556,58,723554.83
2184117,106898,135047,46775,53,447468.22
2643282,339855,75138,79882,47,671772.5
229725,450357,150000,39883,35,9890.35
1385574,209304,150000,10911,64,236797.7
4498859,301167,86706,65795,33,1239427.8
995928,302353,116905,20872,54,151477.25
1088036,355734,28830,74327,24,207671.26
3171783,348756,110076,73072,55,830665.99
2862761,80522,150000,85968,39,634082.28
2713024,373798,30609,98286,51,712273.22
2740034,145512,17401,44537,45,670365.7
2598083,119107,150000,85077,60,563819.26
2753314,401176,103480,16860,32,736054.8
4940319,22462,118278,70819,32,1278789.41
4109439,279965,150000,30743,62,1102502.23
4111146,450988,57391,42559,45,1181601.41
1840920,420474,126543,72941,53,432715.92
1907017,92889,128886,96717,57,342982.54
889556,88952,94583,32205,48,75757.76
2989247,193596,150000,89944,63,707584.49
3057261,415331,137719,17645,29,824375.14
3425830,380210,150000,71859,34,907664.47
2453722,177505,6015,71473,23,586166.57
1849729,221576,21506,50734,25,413108.28
1316271,481483,24067,30431,46,333295.87
2728268,219393,130819,60914,61,649249.54
3299555,498149,2056,17882,38,968062.99
